A,0,0,0,14
A,0,0,1,10
A,0,0,2,30
A,0,0,3,30
A,0,1,0,29
A,0,1,1,29
A,0,1,2,30
A,0,1,3,30
A,0,2,0,14
A,0,2,1,14
A,0,2,2,29
A,0,2,3,29
A,1,0,0,30
A,1,0,1,30
A,1,0,2,30
A,1,0,3,30
A,1,1,0,30
A,1,1,1,30
A,1,1,2,36
A,1,1,3,29
A,1,2,0,15
A,1,2,1,15
A,1,2,2,30
A,1,2,3,30
B,0,0,0,29
B,0,0,1,29
B,0,0,2,28
B,0,0,3,28
B,0,1,0,29
B,0,1,1,29
B,0,1,2,30
B,0,1,3,30
B,0,2,0,30
B,0,2,1,30
B,0,2,2,29
B,0,2,3,29
B,1,0,0,29
B,1,0,1,29
B,1,0,2,16
B,1,0,3,16
B,1,1,0,30
B,1,1,1,30
B,1,1,2,29
B,1,1,3,29
B,1,2,0,9
B,1,2,1,9
B,1,2,2,30
B,1,2,3,30
